CODE,COUNTRY,KEEPWARM,ARREARS,POPULATION,REGION
IS,Iceland,1.4,6.6,330,Northern Europe
MT,Malta,14.1,10.2,434,Southern Europe
LU,Luxembourg,0.9,2.4,567,Western Europe
CY,Cyprus,28.3,20.1,1161,Southern Europe
EE,Estonia,2,7.9,1315,Northern Europe
LV,Latvia,14.5,16.7,1998,Northern Europe
SI,Slovenia,5.6,17.5,2071,Southern Europe
LT,Lithuania,31.1,8.4,2932,Northern Europe
HR,Croatia,9.9,28.7,4233,Southern Europe
IE,Ireland,9,15.1,4652,Northern Europe
NO,Norway,0.5,3.2,5200,Northern Europe
SK,Slovakia,5.8,5.7,5436,Eastern Europe
FI,Finland,1.7,7.5,5481,Northern Europe
DK,Denmark,3.6,3.4,5689,Northern Europe
BG,Bulgaria,39.2,31.4,7200,Eastern Europe
CH,Switzerland,0.6,3.6,8297,Western Europe
AT,Austria,2.6,3.5,8679,Western Europe
RS,Serbia,15.2,34.8,8877,Southern Europe
SE,Sweden,1.2,3.2,9765,Northern Europe
HU,Hungary,9.6,19.4,9778,Eastern Europe
PT,Portugal,23.8,7.8,10368,Southern Europe
CZ,Czechia,5,3,10601,Eastern Europe
EL,Greece,29.2,42,10660,Southern Europe
BE,Belgium,5.2,5.1,11288,Western Europe
NL,Netherlands,2.9,2.7,16938,Western Europe
RO,Romania,13.1,17.4,19925,Eastern Europe
PL,Poland,7.5,9.2,38034,Eastern Europe
ES,Spain,10.6,8.8,46672,Southern Europe
IT,Italy,17,12.6,60578,Southern Europe
FR,France,5.5,5.9,64453,Western Europe
UK,United Kingdom,7.8,7,65860,Northern Europe
DE,Germany,4.1,4,81787,Western Europe
